"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "JavaScript JSX", "comment", "blank", "total"
"d:\Programming\Projects\library\books1-sorted.js", "JavaScript", 0, 11421, 0, 0, 0, 0, 2, 11423
"d:\Programming\Projects\library\books1.js", "JavaScript", 0, 49621, 0, 0, 0, 0, 2, 49623
"d:\Programming\Projects\library\client\package-lock.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 6
"d:\Programming\Projects\library\client\package.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"d:\Programming\Projects\library\client\public\index.html", "HTML", 0, 0, -2, 0, 0, 0, -1, -3
"d:\Programming\Projects\library\client\src\App.js", "JavaScript", 0, -1, 0, 0, 0, 0, 0, -1
"d:\Programming\Projects\library\client\src\components\buttons\button.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 4, 17
"d:\Programming\Projects\library\client\src\components\buttons\button.styles.css", "CSS", 0, 0, 0, 22, 0, 0, 4, 26
"d:\Programming\Projects\library\client\src\components\context\snackbar.context.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 5, 31
"d:\Programming\Projects\library\client\src\components\feedback\backdrop\backdrop.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 2, 16
"d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar-full.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 3, 21
"d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar-old.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -4, 0, -4
"d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 4, 10, 46
"d:\Programming\Projects\library\client\src\components\feedback\snackbar\snackbar.styles.css", "CSS", 0, 0, 0, 35, 0, 0, 7, 42
"d:\Programming\Projects\library\client\src\components\feedback\spinner\spinner.component.jsx", "JavaScript JSX", 0, 0, 0, 0, -6, 0, 0, -6
"d:\Programming\Projects\library\client\src\components\feedback\spinner\spinner.styles.css", "CSS", 0, 0, 0, 13, 0, 0, 2, 15
"d:\Programming\Projects\library\client\src\components\forms\input-field\input-field.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, -1, 0, 9
"d:\Programming\Projects\library\client\src\components\forms\input-field\input-field.styles.css", "CSS", 0, 0, 0, 48, 0, 0, 6, 54
"d:\Programming\Projects\library\client\src\components\forms\input-select\input-select.component.jsx", "JavaScript JSX", 0, 0, 0, 0, -6, 0, 0, -6
"d:\Programming\Projects\library\client\src\components\forms\input-select\input-select.styles.css", "CSS", 0, 0, 0, 34, 0, 0, 5, 39
"d:\Programming\Projects\library\client\src\components\modals\form-dialoge.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 3, 26
"d:\Programming\Projects\library\client\src\components\table\custom-table-select.component.jsx", "JavaScript JSX", 0, 0, 0, 0, -3, 0, 1, -2
"d:\Programming\Projects\library\client\src\components\table\custom-table.component.jsx", "JavaScript JSX", 0, 0, 0, 0, -36, 0, -4, -40
"d:\Programming\Projects\library\client\src\components\table\spanning-table.component.jsx", "JavaScript JSX", 0, 0, 0, 0, -6, 0, -1, -7
"d:\Programming\Projects\library\client\src\components\table\table.styles.css", "CSS", 0, 0, 0, 36, 0, 0, 5, 41
"d:\Programming\Projects\library\client\src\dashboard\admin\components\navbar\navbar.component.jsx", "JavaScript JSX", 0, 0, 0, 0, -56, 1, -4, -59
"d:\Programming\Projects\library\client\src\dashboard\admin\components\navbar\navbar.styles.css", "CSS", 0, 0, 0, 79, 0, 0, 10, 89
"d:\Programming\Projects\library\client\src\dashboard\admin\hooks\http-requests.hooks.admin.js", "JavaScript", 0, -116, 0, 0, 0, 1, 3, -112
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\issue-new-book\issue-new-book.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, -7, 0, 4, -3
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\issue-new-book\issue-new-book.styles.css", "CSS", 0, 0, 0, 17, 0, 0, 3, 20
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\return-issued-book\return-issued-book.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, -23, 1, 1, -21
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\return-issued-book\return-issued-book.page.admin.styles.css", "CSS", 0, 0, 0, 12, 0, 0, 2, 14
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\search-issued-books\search-issued-books.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, -26, 0, -1, -27
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\search-issued-books\search-issued-books.styles.admin.css", "CSS", 0, 0, 0, 5, 0, 0, 1, 6
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\searh-returned-books\search-returned-books.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, -16, 0, 1, -15
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\issue-book\searh-returned-books\search-returned-books.styles.css", "CSS", 0, 0, 0, 20, 0, 0, 4, 24
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-books\add-book\add-book.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, -8, 0, 0, -8
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-books\book-accessions\add-book-accession.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, -2, 0, 0, -2
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-books\search-books\search-books.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 6, 0, 0, 6
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-fines\manage-fines.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 3, 13
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-fines\search-fines\search-fines.page.jsx", "JavaScript JSX", 0, 0, 0, 0, 83, 0, 7, 90
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-fines\view-fine\view-fine.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 99, 0, 13, 112
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff\add-staff\add-staff.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff\search-staff\search-staff.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 1, 13
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff\view-staff\view-staff.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 1, 15
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\add-student\add-student.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 5
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\add-student\add-student.styles.css", "CSS", 0, 0, 0, 6, 0, 0, 1, 7
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\approve-student\approve-student.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, -20, 0, 0, -20
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\approve-student\view-applicant.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, -1, 0, 0, -1
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\library-cards\add-library-card\add-library-card.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, -4, 0, 0, -4
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\search-students\search-student.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, -8, 0, 0, -8
"d:\Programming\Projects\library\client\src\dashboard\admin\pages\profile\change-password\change-password.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\admin-routes.route.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 2, 0, 0, 2
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\manage-fines.routes.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 3, 17
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\manage-students.route.jsx", "JavaScript JSX", 0, 0, 0, 0, -3, 0, 0, -3
"d:\Programming\Projects\library\client\src\dashboard\applicant\applicant.page.jsx", "JavaScript JSX", 0, 0, 0, 0, -7, 0, 0, -7
"d:\Programming\Projects\library\client\src\dashboard\applicant\applied-status.page.applicant.jsx", "JavaScript JSX", 0, 0, 0, 0, 40, 0, 2, 42
"d:\Programming\Projects\library\client\src\dashboard\applicant\apply-student.page.applicant.jsx", "JavaScript JSX", 0, 0, 0, 0, 133, -1, 9, 141
"d:\Programming\Projects\library\client\src\dashboard\http-requests.js", "JavaScript", 0, -202, 0, 0, 0, 0, -4, -206
"d:\Programming\Projects\library\client\src\dashboard\login-page\forgot-password.page.jsx", "JavaScript JSX", 0, 0, 0, 0, 66, -1, 7, 72
"d:\Programming\Projects\library\client\src\dashboard\login-page\login-page.page.jsx", "JavaScript JSX", 0, 0, 0, 0, -51, -1, 2, -50
"d:\Programming\Projects\library\client\src\dashboard\login-page\login-page.styles.css", "CSS", 0, 0, 0, 16, 0, 0, 2, 18
"d:\Programming\Projects\library\client\src\dashboard\login-page\sign-up.page.jsx", "JavaScript JSX", 0, 0, 0, 0, -17, 0, 1, -16
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\issue-new-book\issue-new-book.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, -6, 0, 0, -6
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\return-issued-book\return-issued-book.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, -12, 0, 0, -12
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\searh-returned-books\search-returned-books.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, -4, 0, 0, -4
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\add-book\add-book.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, -2, 0, 0, -2
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\book-accessions\add-book-accession.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, -2, 0, 0, -2
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\add-student\add-student.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, -2, 0, 0, -2
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\approve-student\view-applicant.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, -2, 0, 0, -2
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\library-cards\add-library-card\add-library-card.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, -4, 0, 0, -4
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\profile\change-password\change-password.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, -2, 0, 0, -2
"d:\Programming\Projects\library\client\src\index.css", "CSS", 0, 0, 0, 23, 0, 0, 4, 27
"d:\Programming\Projects\library\client\src\index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 3
"d:\Programming\Projects\library\server\books1-sorted.js", "JavaScript", 0, 11421, 0, 0, 0, 0, 2, 11423
"d:\Programming\Projects\library\server\package-lock.json", "JSON", 98, 0, 0, 0, 0, 0, 0, 98
"d:\Programming\Projects\library\server\package.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"d:\Programming\Projects\library\server\src\Student Registration Detail Form.html", "HTML", 0, 0, 18, 0, 0, 0, 1, 19
"d:\Programming\Projects\library\server\src\app.js", "JavaScript", 0, 8, 0, 0, 0, 1, 0, 9
"d:\Programming\Projects\library\server\src\models\applications\applications.controllers.js", "JavaScript", 0, -35, 0, 0, 0, -1, -10, -46
"d:\Programming\Projects\library\server\src\models\applications\applications.schema.js", "JavaScript", 0, -40, 0, 0, 0, 0, 0, -40
"d:\Programming\Projects\library\server\src\models\auth\admin\aduth_admin.controllers.js", "JavaScript", 0, 4, 0, 0, 0, 0, 1, 5
"d:\Programming\Projects\library\server\src\models\auth\applicant\auth_applicant.controllers.js", "JavaScript", 0, -4, 0, 0, 0, -8, -1, -13
"d:\Programming\Projects\library\server\src\models\auth\auth.controllers.js", "JavaScript", 0, -53, 0, 0, 0, 0, -12, -65
"d:\Programming\Projects\library\server\src\models\auth\auth.schema.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 9
"d:\Programming\Projects\library\server\src\models\auth\student\auth_student.controllers.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 4
"d:\Programming\Projects\library\server\src\models\book-accessions\book-accessions.controllers.js", "JavaScript", 0, -14, 0, 0, 0, 0, -4, -18
"d:\Programming\Projects\library\server\src\models\book-accessions\book-accessions.schema.js", "JavaScript", 0, -10, 0, 0, 0, 0, 0, -10
"d:\Programming\Projects\library\server\src\models\books\books.controllers.js", "JavaScript", 0, -1, 0, 0, 0, 0, 0, -1
"d:\Programming\Projects\library\server\src\models\books\books.schema.js", "JavaScript", 0, -36, 0, 0, 0, 0, -2, -38
"d:\Programming\Projects\library\server\src\models\fines\fines.controllers.js", "JavaScript", 0, 23, 0, 0, 0, 0, 9, 32
"d:\Programming\Projects\library\server\src\models\fines\fines.schema.js", "JavaScript", 0, 19, 0, 0, 0, 0, 3, 22
"d:\Programming\Projects\library\server\src\models\issue-book\issue-book.schema.js", "JavaScript", 0, -2, 0, 0, 0, 0, 0, -2
"d:\Programming\Projects\library\server\src\models\library-cards\library-cards.controllers.js", "JavaScript", 0, -4, 0, 0, 0, 0, 0, -4
"d:\Programming\Projects\library\server\src\models\returned-book\returned-books.controllers.models.js", "JavaScript", 0, 6, 0, 0, 0, 0, 1, 7
"d:\Programming\Projects\library\server\src\models\returned-book\returned-books.schema.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 12
"d:\Programming\Projects\library\server\src\models\staff\staff.schema.js", "JavaScript", 0, -45, 0, 0, 0, 0, 0, -45
"d:\Programming\Projects\library\server\src\models\students\students.controllers.js", "JavaScript", 0, -7, 0, 0, 0, 0, 0, -7
"d:\Programming\Projects\library\server\src\models\students\students.schema.js", "JavaScript", 0, -37, 0, 0, 0, 0, 0, -37
"d:\Programming\Projects\library\server\src\router\admin\admin.router.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 2
"d:\Programming\Projects\library\server\src\router\admin\books\books.router.admin.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"d:\Programming\Projects\library\server\src\router\admin\database\database.router.admin.js", "JavaScript", 0, -6, 0, 0, 0, 0, -1, -7
"d:\Programming\Projects\library\server\src\router\admin\fines\fines.middlewares.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Programming\Projects\library\server\src\router\admin\fines\fines.router.admin.js", "JavaScript", 0, 55, 0, 0, 0, 0, 8, 63
"d:\Programming\Projects\library\server\src\router\admin\issue-book\issue-book.middlewares.js", "JavaScript", 0, -99, 0, 0, 0, -6, -10, -115
"d:\Programming\Projects\library\server\src\router\admin\issue-book\issue-book.router.admin.js", "JavaScript", 0, -8, 0, 0, 0, 0, 1, -7
"d:\Programming\Projects\library\server\src\router\admin\return-book\return-book.middlewares.js", "JavaScript", 0, 156, 0, 0, 0, 6, 14, 176
"d:\Programming\Projects\library\server\src\router\admin\return-book\return-book.router.admin.js", "JavaScript", 0, 84, 0, 0, 0, 0, 11, 95
"d:\Programming\Projects\library\server\src\router\admin\staff\staff.middlewares.js", "JavaScript", 0, 37, 0, 0, 0, 0, 4, 41
"d:\Programming\Projects\library\server\src\router\admin\staff\staff.router.admin.js", "JavaScript", 0, -3, 0, 0, 0, 0, 0, -3
"d:\Programming\Projects\library\server\src\router\admin\students\students.middlewares.js", "JavaScript", 0, 128, 0, 0, 0, 2, 11, 141
"d:\Programming\Projects\library\server\src\router\admin\students\students.router.admin.js", "JavaScript", 0, -69, 0, 0, 0, 0, -20, -89
"d:\Programming\Projects\library\server\src\router\applicant\applicant.router.js", "JavaScript", 0, 4, 0, 0, 0, 0, -2, 2
"d:\Programming\Projects\library\server\src\router\auth\admin\admin-router.auth.router.js", "JavaScript", 0, -5, 0, 0, 0, 0, -4, -9
"d:\Programming\Projects\library\server\src\router\auth\admin\admin.auth.middlewares.js", "JavaScript", 0, 76, 0, 0, 0, 0, 6, 82
"d:\Programming\Projects\library\server\src\router\auth\admin\admin.auth.router.js", "JavaScript", 0, 72, 0, 0, 0, 0, 7, 79
"d:\Programming\Projects\library\server\src\router\auth\admin\email-sign-on.admin.auth.router.js", "JavaScript", 0, -44, 0, 0, 0, 0, -9, -53
"d:\Programming\Projects\library\server\src\router\auth\applicants\applicants.auth.router.js", "JavaScript", 0, 57, 0, 0, 0, 0, 6, 63
"d:\Programming\Projects\library\server\src\router\auth\applicants\applicants.email-sign-on.auth.router.js", "JavaScript", 0, -5, 0, 0, 0, 0, -4, -9
"d:\Programming\Projects\library\server\src\router\auth\applicants\applicants.middlewares.auth.js", "JavaScript", 0, 119, 0, 0, 0, 6, 16, 141
"d:\Programming\Projects\library\server\src\router\auth\applicants\email-sign-on.applicants.auth.router.js", "JavaScript", 0, -98, 0, 0, 0, -6, -23, -127
"d:\Programming\Projects\library\server\src\router\auth\auth-secured.router.js", "JavaScript", 0, 63, 0, 0, 0, 0, 12, 75
"d:\Programming\Projects\library\server\src\router\auth\auth.middlewares.js", "JavaScript", 0, 32, 0, 0, 0, 0, 4, 36
"d:\Programming\Projects\library\server\src\router\auth\auth.router.js", "JavaScript", 0, -19, 0, 0, 0, -50, -11, -80
"d:\Programming\Projects\library\server\src\router\auth\email-sign-on\email-sign-on-jwt.js", "JavaScript", 0, -3, 0, 0, 0, 0, -2, -5
"d:\Programming\Projects\library\server\src\router\auth\email-sign-on\email-sign-on.router.js", "JavaScript", 0, -98, 0, 0, 0, 0, -16, -114
"d:\Programming\Projects\library\server\src\router\auth\jwt.js", "JavaScript", 0, 16, 0, 0, 0, 0, 5, 21
"d:\Programming\Projects\library\server\src\router\auth\passport\jwt.js", "JavaScript", 0, -16, 0, 0, 0, 0, -5, -21
"d:\Programming\Projects\library\server\src\router\auth\students\email-sign-on.student.auth.js", "JavaScript", 0, -40, 0, 0, 0, 0, -9, -49
"d:\Programming\Projects\library\server\src\router\auth\students\students-router.auth.router.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 20
"d:\Programming\Projects\library\server\src\router\auth\students\students.auth.middlewares.js", "JavaScript", 0, 19, 0, 0, 0, 0, 3, 22
"d:\Programming\Projects\library\server\src\router\router.js", "JavaScript", 0, -7, 0, 0, 0, -1, -2, -10
"d:\Programming\Projects\library\server\src\utils\custom-response-codes.js", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 120
"d:\Programming\Projects\library\server\src\utils\excel-bulk.entry.js", "JavaScript", 0, 87, 0, 0, 0, 2, 5, 94
"d:\Programming\Projects\library\server\src\utils\functions.js", "JavaScript", 0, 52, 0, 0, 0, -2, 14, 64
"Total", "-", 106, 72624, 16, 366, 280, -58, 129, 73463