"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "TypeScript JSX", "JavaScript JSX", "CSS", "comment", "blank", "total"
"d:\Programming\Projects\library\client\src\dashboard\staff\components\navbar\navbar.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 11, 113
"d:\Programming\Projects\library\client\src\dashboard\staff\hooks\http-requests.hooks.admin.js", "JavaScript", 0, 608, 0, 0, 0, 0, 0, 1, 47, 656
"d:\Programming\Projects\library\client\src\dashboard\staff\hooks\useSignOut.hooks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\homepage\homepage.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\issue-book-route.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\issue-new-book\issue-new-book.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 261, 0, 0, 18, 279
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\return-issued-book\return-issued-book.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 199, 0, 0, 15, 214
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\search-issued-books\search-issued-books.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 154, 0, 0, 12, 166
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\search-issued-books\view-book.issue-book.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 7, 59
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\searh-returned-books\search-returned-books.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 158, 0, 0, 11, 169
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\searh-returned-books\view-book.issue-book.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 7, 62
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\view-book\view-book.issue-book.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 7, 69
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\add-book\add-book.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 164, 0, 12, 11, 187
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\book-accessions\add-book-accession.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 155, 0, 0, 13, 168
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\manage-books.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\search-books\search-books.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 11, 116
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\view-book\view-book.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 78, 0, 0, 8, 86
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\add-student\add-student.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 186, 0, 1, 11, 198
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\approve-student\approve-student.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 89, 0, 0, 9, 98
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\approve-student\view-applicant.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 117, 0, 0, 9, 126
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\library-cards\add-library-card\add-library-card.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 148, 0, 0, 13, 161
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\manage-students.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\search-students\search-student.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 9, 93
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\view-student\view-student.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 8, 80
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\profile\change-password\change-password.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 8, 96
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\profile\profile.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\Programming\Projects\library\client\src\dashboard\staff\routes\issue-books.route.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
"d:\Programming\Projects\library\client\src\dashboard\staff\routes\manage-books.route.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\Programming\Projects\library\client\src\dashboard\staff\routes\manage-students.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
"d:\Programming\Projects\library\client\src\dashboard\staff\routes\profile.router.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"d:\Programming\Projects\library\client\src\dashboard\staff\routes\staff-routes.route.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"d:\Programming\Projects\library\client\src\dashboard\student\components\navbar\navbar.component.user.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 86, 0, 0, 8, 94
"d:\Programming\Projects\library\client\src\dashboard\student\hooks\http-requests.hooks.student.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"d:\Programming\Projects\library\client\src\dashboard\student\pages\homepage\homepage.page.user.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"d:\Programming\Projects\library\client\src\dashboard\student\pages\issue-history\issue-history.page.student.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 132, 0, 0, 9, 141
"d:\Programming\Projects\library\client\src\dashboard\student\routes\student-routes.user.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"d:\Programming\Projects\library\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 35, 0, 6, 41
"d:\Programming\Projects\library\client\src\index.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"d:\Programming\Projects\library\client\src\utils\functions.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 9, 15, 79
"d:\Programming\Projects\library\package-lock.json", "JSON", 317, 0, 0, 0, 0, 0, 0, 0, 1, 318
"d:\Programming\Projects\library\package.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Programming\Projects\library\server\books1-sorted.js", "JavaScript", 0, 11421, 0, 0, 0, 0, 0, 0, 2, 11423
"d:\Programming\Projects\library\server\package-lock.json", "JSON", 3272, 0, 0, 0, 0, 0, 0, 0, 1, 3273
"d:\Programming\Projects\library\server\package.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 1, 31
"d:\Programming\Projects\library\server\src\Student Registration Detail Form.html", "HTML", 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"d:\Programming\Projects\library\server\src\app.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 2, 10, 47
"d:\Programming\Projects\library\server\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 6, 18
"d:\Programming\Projects\library\server\src\models\applications\applications.controllers.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 7, 39
"d:\Programming\Projects\library\server\src\models\applications\applications.schema.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"d:\Programming\Projects\library\server\src\models\auth\admin\aduth_admin.controllers.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
"d:\Programming\Projects\library\server\src\models\auth\applicant\auth_applicant.controllers.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 7, 44
"d:\Programming\Projects\library\server\src\models\auth\auth.schema.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 7, 60
"d:\Programming\Projects\library\server\src\models\auth\functions.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 1, 4, 29
"d:\Programming\Projects\library\server\src\models\auth\student\auth_student.controllers.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Programming\Projects\library\server\src\models\book-accessions\book-accessions.controllers.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"d:\Programming\Projects\library\server\src\models\book-accessions\book-accessions.schema.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Programming\Projects\library\server\src\models\books\books.controllers.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 15, 95
"d:\Programming\Projects\library\server\src\models\books\books.schema.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Programming\Projects\library\server\src\models\fines\fines.controllers.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 9, 32
"d:\Programming\Projects\library\server\src\models\fines\fines.schema.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"d:\Programming\Projects\library\server\src\models\issue-book\issue-book.controllers.js", "JavaScript", 0, 104, 0, 0, 0, 0, 0, 0, 19, 123
"d:\Programming\Projects\library\server\src\models\issue-book\issue-book.schema.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"d:\Programming\Projects\library\server\src\models\library-cards\library-cards.controllers.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 7, 36
"d:\Programming\Projects\library\server\src\models\library-cards\library-cards.schema.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"d:\Programming\Projects\library\server\src\models\returned-book\returned-books.controllers.models.js", "JavaScript", 0, 158, 0, 0, 0, 0, 0, 0, 30, 188
"d:\Programming\Projects\library\server\src\models\returned-book\returned-books.schema.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 3, 42
"d:\Programming\Projects\library\server\src\models\staff\staff.controllers.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"d:\Programming\Projects\library\server\src\models\staff\staff.schema.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"d:\Programming\Projects\library\server\src\models\students\students.controllers.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 13, 58
"d:\Programming\Projects\library\server\src\models\students\students.schema.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Programming\Projects\library\server\src\router\admin\admin.router.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"d:\Programming\Projects\library\server\src\router\admin\books\books.middlewares.admin.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 5, 68
"d:\Programming\Projects\library\server\src\router\admin\books\books.router.admin.js", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 0, 10, 119
"d:\Programming\Projects\library\server\src\router\admin\database\database.router.admin.js", "JavaScript", 0, 163, 0, 0, 0, 0, 0, 0, 14, 177
"d:\Programming\Projects\library\server\src\router\admin\fines\fines.middlewares.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Programming\Projects\library\server\src\router\admin\fines\fines.router.admin.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 8, 63
"d:\Programming\Projects\library\server\src\router\admin\issue-book\issue-book.middlewares.js", "JavaScript", 0, 226, 0, 0, 0, 0, 0, 6, 16, 248
"d:\Programming\Projects\library\server\src\router\admin\issue-book\issue-book.router.admin.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 0, 12, 119
"d:\Programming\Projects\library\server\src\router\admin\return-book\return-book.middlewares.js", "JavaScript", 0, 156, 0, 0, 0, 0, 0, 6, 14, 176
"d:\Programming\Projects\library\server\src\router\admin\return-book\return-book.router.admin.js", "JavaScript", 0, 84, 0, 0, 0, 0, 0, 0, 11, 95
"d:\Programming\Projects\library\server\src\router\admin\settings\settings.router.admin.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 6, 51
"d:\Programming\Projects\library\server\src\router\admin\staff\staff.middlewares.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 4, 41
"d:\Programming\Projects\library\server\src\router\admin\staff\staff.router.admin.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 6, 46
"d:\Programming\Projects\library\server\src\router\admin\students\students.middlewares.js", "JavaScript", 0, 128, 0, 0, 0, 0, 0, 2, 11, 141
"d:\Programming\Projects\library\server\src\router\admin\students\students.router.admin.js", "JavaScript", 0, 134, 0, 0, 0, 0, 0, 0, 15, 149
"d:\Programming\Projects\library\server\src\router\applicant\applicant.router.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 6, 47
"d:\Programming\Projects\library\server\src\router\auth\admin\admin.auth.middlewares.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 0, 6, 82
"d:\Programming\Projects\library\server\src\router\auth\admin\admin.auth.router.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 0, 7, 79
"d:\Programming\Projects\library\server\src\router\auth\applicants\applicants.auth.router.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 6, 63
"d:\Programming\Projects\library\server\src\router\auth\applicants\applicants.middlewares.auth.js", "JavaScript", 0, 119, 0, 0, 0, 0, 0, 6, 16, 141
"d:\Programming\Projects\library\server\src\router\auth\auth-secured.router.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 12, 75
"d:\Programming\Projects\library\server\src\router\auth\auth.middlewares.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"d:\Programming\Projects\library\server\src\router\auth\auth.router.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"d:\Programming\Projects\library\server\src\router\auth\jwt.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"d:\Programming\Projects\library\server\src\router\auth\students\students-router.auth.router.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
"d:\Programming\Projects\library\server\src\router\auth\students\students.auth.middlewares.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"d:\Programming\Projects\library\server\src\router\router.js", "JavaScript", 0, 90, 0, 0, 0, 0, 0, 0, 15, 105
"d:\Programming\Projects\library\server\src\router\student\issue-history\issue-history.router.student.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"d:\Programming\Projects\library\server\src\secrets.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Programming\Projects\library\server\src\services\email-templates.js", "JavaScript", 0, 89, 0, 0, 0, 0, 0, 0, 4, 93
"d:\Programming\Projects\library\server\src\services\mongo-functions.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Programming\Projects\library\server\src\services\mongo.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 10, 10, 56
"d:\Programming\Projects\library\server\src\services\nodemailer.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Programming\Projects\library\server\src\utils\custom-response-codes.js", "JavaScript", 0, 336, 0, 0, 0, 0, 0, 0, 3, 339
"d:\Programming\Projects\library\server\src\utils\excel-bulk.entry.js", "JavaScript", 0, 139, 0, 0, 0, 0, 0, 5, 16, 160
"d:\Programming\Projects\library\server\src\utils\functions.js", "JavaScript", 0, 147, 0, 0, 0, 0, 0, 1, 30, 178
"Total", "-", 22229, 77185, 39, 38, 9, 7842, 378, 98, 1483, 109301